ds,lag1_level__m,lag3_level__m,lag7_level__m,lag14_level__m,belet_weyne_level__m,belet_weyne_lag1_level__m,belet_weyne_lag3_level__m,belet_weyne_lag7_level__m,belet_weyne_lag14_level__m,ethiopia_fafen_haren_precipitation_sum,ethiopia_fafen_haren_precipitation_hours,ethiopia_fafen_haren_lag1_precipitation_sum,ethiopia_fafen_haren_lag1_precipitation_hours,ethiopia_fafen_haren_lag3_precipitation_sum,ethiopia_fafen_haren_lag3_precipitation_hours,ethiopia_fafen_haren_lag7_precipitation_sum,ethiopia_fafen_haren_lag7_precipitation_hours,ethiopia_fafen_haren_lag14_precipitation_sum,ethiopia_fafen_haren_lag14_precipitation_hours,ethiopia_fafen_gebredarre_precipitation_sum,ethiopia_fafen_gebredarre_precipitation_hours,ethiopia_fafen_gebredarre_lag1_precipitation_sum,ethiopia_fafen_gebredarre_lag1_precipitation_hours,ethiopia_fafen_gebredarre_lag3_precipitation_sum,ethiopia_fafen_gebredarre_lag3_precipitation_hours,ethiopia_fafen_gebredarre_lag7_precipitation_sum,ethiopia_fafen_gebredarre_lag7_precipitation_hours,ethiopia_fafen_gebredarre_lag14_precipitation_sum,ethiopia_fafen_gebredarre_lag14_precipitation_hours,ethiopia_shabelle_gode_precipitation_sum,ethiopia_shabelle_gode_precipitation_hours,ethiopia_shabelle_gode_lag1_precipitation_sum,ethiopia_shabelle_gode_lag1_precipitation_hours,ethiopia_shabelle_gode_lag3_precipitation_sum,ethiopia_shabelle_gode_lag3_precipitation_hours,ethiopia_shabelle_gode_lag7_precipitation_sum,ethiopia_shabelle_gode_lag7_precipitation_hours,ethiopia_shabelle_gode_lag14_precipitation_sum,ethiopia_shabelle_gode_lag14_precipitation_hours,y
2022-01-12,1.4,1.4,1.4,1.44,1.57,1.57,1.6,1.62,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
2022-01-13,1.4,1.4,1.4,1.44,1.57,1.57,1.6,1.62,1.66,0.1,1.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
2022-01-14,1.4,1.4,1.4,1.44,1.57,1.57,1.57,1.62,1.66,0.0,0.0,0.1,1.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39
2022-01-15,1.39,1.4,1.4,1.42,1.55,1.57,1.57,1.6,1.65,0.6,2.0,0.0,0.0,0.0,0.0,1.5000001,7.0,0.0,0.0,0.6,2.0,0.0,0.0,0.0,0.0,1.5000001,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39
2022-01-16,1.39,1.4,1.4,1.42,1.55,1.55,1.57,1.6,1.65,5.4,6.0,0.6,2.0,0.1,1.0,0.0,0.0,0.0,0.0,5.4,6.0,0.6,2.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39
2022-01-17,1.39,1.39,1.4,1.42,1.55,1.55,1.57,1.6,1.65,0.0,0.0,5.4,6.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5.4,6.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37
2022-01-18,1.37,1.39,1.4,1.4,1.52,1.55,1.55,1.57,1.62,0.0,0.0,0.0,0.0,0.6,2.0,0.0,0.0,0.70000005,4.0,0.0,0.0,0.0,0.0,0.6,2.0,0.0,0.0,0.70000005,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37
2022-01-19,1.37,1.39,1.4,1.4,1.52,1.52,1.55,1.57,1.62,0.0,0.0,0.0,0.0,5.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37
2022-01-20,1.37,1.37,1.4,1.4,1.52,1.52,1.55,1.57,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37
2022-01-21,1.37,1.37,1.39,1.4,1.5,1.52,1.52,1.57,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37
